ID,modelling_mask,prediction_mask,Mean_LST,NDVI,Build_ANN12,Build_ANN23,Build_ANN34,Build,dist_centre,dist_water,eastness,elevation,glass,Hard_ANN12,Hard_ANN23,Hard_ANN34,hard,mixed,Nat_ANN12,Nat_ANN23,Nat_ANN34,nat,northness,slope
47450,1,1,16.25626802,0.626841962,6.951422215,3.713322163,0.092633791,0,5824.324219,551.6819458,-0.961423218,10.85429573,0,17.13598061,11.47304153,17.01535225,31.33333397,0,75.91259766,84.81363678,81.80284119,68.66666412,-0.27507329,1.969978809
39779,1,1,14.03822863,0.755591199,0,0,0,0,5572.361328,1218.542725,-0.40288651,23.10778999,0,2.768518448,4.838888645,4.314815044,0,0,97.23148346,95.16110992,95.68518066,100,-0.915249884,0.396348089
4555,1,1,16.36649442,0.661575273,10.10468864,10.09506893,8.776724815,7.000000477,4785.615234,2701.345703,0.99816829,10.5127964,0,24.48904991,29.03736305,19.71571922,17.11111259,49.55555725,33.52165604,31.94433212,41.00064087,26.33333397,-0.060497839,2.088763952
41431,1,1,14.32830727,0.703469798,3.231256008,2.871505976,3.243930101,0,7122.60498,664.2453003,-0.204898998,5.266241074,0,14.29202461,12.15197468,5.756501198,0,0.333333343,69.30204773,73.8398056,79.97237396,99.66666412,-0.978783071,0.974113524
39852,1,1,17.5848279,0.631079823,8.032081604,13.98439121,10.00313091,16.98513985,3638.344971,3183.912109,-0.911475301,29.73126411,0,18.42050362,16.60262489,15.22727489,23.67303658,47.77070236,31.5172863,20.90371513,23.52283859,7.430998325,-0.41135481,2.343777657
52553,1,1,14.280792,0.611432202,0,0,0,0,6355.935059,123.7242737,0.556040704,1.56074357,0,0,0,0.018982537,0,0,100,100,99.98101807,100,-0.831155121,0.215400666
78675,1,1,18.10986042,0.335631378,19.22494698,18.19590378,13.04507923,31.66666603,4040.446289,615.7033081,-0.887144923,4.025850773,0,25.59361458,23.86135292,43.12089539,2.222222328,66.1111145,4.775671959,9.225307465,6.292566299,0,0.461490989,0.736371517
78745,1,1,19.3967576,0.429364309,18.55555534,21.94444466,20.53240776,55.22222519,1992.73584,1301.787964,-0.63920331,17.91690826,0,20.29629707,25.92777824,13.22222233,0,44.77777863,0,0,0,0,-0.769037783,0.438965797
60135,0,1,16.09534323,0.665256411,18.39890289,14.84031677,12.72685146,4,3519.208252,2445.568848,-0.978620529,76.82231903,0,10.51702023,16.0616684,13.5879631,0,96,3.045865297,5.505772114,14.42129612,0,-0.205674097,11.3144083
83096,1,1,17.74723268,0.51476489,18.91060066,20.1265316,28.03342819,19.08990097,1075.677368,270.0679016,0.211993203,2.85463357,0,34.5845871,55.12768555,54.15891266,42.28635025,0,46.50481415,24.74578285,17.80765915,38.62374878,-0.97727108,0.80669862
130137,1,1,13.66362321,0.793276742,0,0.370870203,2.398225546,0,5003.4375,637.9691162,-0.86552161,20.81263924,0,2.761322975,5.287120342,1.69210279,0,0,97.23867798,91.65694427,81.33372498,100,-0.500871599,0.481401414
20257,1,1,14.53774655,0.717091545,9.624638557,8.34392643,7.317373753,0,3814.618652,3037.142822,-0.985557318,72.72411346,0,20.1660881,11.54956913,6.204183578,35.57268906,59.36123276,7.738085747,11.68019581,15.97152138,5.066079617,-0.169342294,3.302155256
15576,1,1,13.87661624,0.740938783,6.482064724,9.909292221,7.929656506,0,3961.109375,2910.731689,-0.999737918,74.05260468,0,7.018640518,17.08372307,23.05917168,24.58287048,51.61290741,32.85136414,20.28995132,19.53181076,23.80422783,-0.022893431,4.157412529
29330,0,1,20.37805724,0.159801934,60.49074173,53.97777939,51.49536896,82.66666412,3279.070801,1015.390747,0.338574588,9.987933159,0,33.42461777,26.94427872,28.1290741,17.33333397,0,6.084641933,19.0779438,20.37555504,0,0.940939486,0.351495147
16299,1,1,14.97899926,0.472954877,0,0,0,0,6259.57666,2568.231934,0.045847502,60.01028061,0,0,0,0,0,0,99.66733551,99.83351135,100,100,-0.998948514,3.612057924
12373,0,1,13.81282341,0.762979731,0.694444597,0.616889238,0.75,0,6679.897461,4564.69873,0.41035369,15.7940855,0,6.175926209,4.140544891,4.115740776,0,0,87,79.61412811,71.17592621,100,0.911926389,5.557223797
35978,1,1,18.79499245,0.484497704,20.40738106,20.36056519,14.93185425,14.11111069,4564.797363,2443.727051,-0.671723783,42.51287079,0,32.21959305,31.55352211,32.04101563,25.33333206,24.44444466,13.48398972,11.56360245,16.68330383,36.11111069,-0.740801573,3.340959072
1118,1,1,17.80416155,0.602527276,20.00129509,15.78646374,3.695122004,31.77777863,4884.597656,2995.498535,0.789407015,29.30061913,0,21.81100845,26.92597771,19.82539558,7.44444418,52.77777863,42.82200241,54.66994476,69.79429626,8,-0.613870203,1.346290112
3674,1,1,14.91770923,0.678845413,0,0,0,0,4682.426758,2860.806641,0.955142081,30.84756088,0,0,0,0,0,0,100,100,100,100,-0.296148002,2.323151827
120710,1,1,18.27224016,0.494512677,13.77777767,15.09048176,16.57208061,11.77777863,3946.533936,458.0452881,-0.418162286,10.90206528,0,35.02950287,30.07203293,25.26968193,42.1111145,46.1111145,10.84078598,16.55047607,17.00209427,0,-0.908372283,7.180984497
29077,1,1,16.44011593,0.537036672,0,0,0,0,6617.054688,1360.967041,0.028154381,23.49278259,0,38.21508408,46.71128082,41.78384018,61.73160172,0,61.78491211,53.28871536,58.21615982,38.26839828,-0.999603629,2.808550835
6080,1,1,12.78497982,0.771009102,0,0,0,0,6094.191406,3649.094971,0.845631123,54.02882004,0,0,1.672222257,4.185184956,0,0,100,98.32777405,95.81481171,100,-0.533767819,6.20169735
22967,1,1,13.17057383,0.750627041,0,0,0,0,4381.101563,2125.669678,0.574370384,6.683657646,0,0,0,0.134233713,0,0,100,100,99.86576843,100,-0.818595529,0.572599709
115381,1,1,17.71899819,0.585419267,12.56395245,14.35058689,12.22424126,26.11111069,5504.564453,1006.036194,-0.971780777,10.04142952,0,16.61370659,14.00168037,10.26560307,2.222222328,71.66666412,8.713139534,13.35142708,21.71108055,0,0.235885605,0.356938422
87345,1,1,20.69560766,0.268599078,36.79629517,34.68333435,24.37037086,46.22222137,1233.598389,484.7867126,0.446018904,5.038474083,0,35.31481552,29.85000038,39.47676468,9.888889313,43.88888931,0,5.816666603,15.09267998,0,-0.895023525,0.25691992
57195,1,1,17.09359932,0.604436077,5.284351826,9.106607437,4.310195446,0,5002.897461,3763.524902,0.776985705,41.97118378,0,29.43383408,23.01689339,21.96298027,78.8888855,0,65.28181458,66.92649841,69.66268158,21.11111069,0.62951827,1.413901567
59956,1,1,17.53781939,0.557656869,18.17592621,19.58200836,23.60414314,10.5555563,2040.733643,2269.887695,0.492112488,27.8536644,0.666666746,17.59259224,10.51500034,18.4606514,9.555557251,61.77777863,32.4629631,25.04743576,10.73144531,17.44444466,-0.870531619,0.542189002
78870,1,1,16.42215359,0.623363137,17.59259224,19.03888893,15.50462914,14.11111069,1964.291138,524.0592041,-0.998592913,46.34260178,0,17.40740776,24.51111221,25.4629631,0,85.8888855,2.990740776,1.422222137,2.092592716,0,0.053029779,2.215303659
92527,1,1,18.9510963,0.41457665,20.5,19.55076599,19.48611069,18.57619476,2291.994873,615.7033081,-0.988513172,33.82966614,0,25.64814949,29.16991043,25.14814758,25.1390419,53.39265823,0,0.717012703,0.027777778,2.892102003,0.151134297,2.254774094
122442,0,1,16.87449265,0.653007254,9.665309906,12.42777729,10.96257973,0,4402.936035,768.5681152,0.58108139,19.74832535,0,20.09254837,11.51666737,16.72801781,40.44444656,30.11111069,42.24346542,34.90555573,45.26727676,29.44444466,-0.813845396,3.494911432
110399,1,1,20.18726754,0.113211415,29.97513771,33.23966217,25.76449776,18.66666603,2858.445068,189.7843628,0.822106481,4.058206081,0,66.2270813,58.00540924,67.15367889,81.33333588,0,3.797780514,8.754928589,7.081826687,0,-0.569333792,0.0621535
19511,1,1,14.69266391,0.76396668,0,0,0,0,3919.40332,1695.890869,0.987063289,10.28853607,0,12.35496807,7.288247108,8.961827278,3.846153975,0,87.64503479,92.71175385,90.71709442,96.15384674,-0.160330907,0.342786551
85154,1,1,19.41546988,0.324884705,16.46576881,16.27442169,22.08997154,16.77777863,2073.996826,953.1824341,-0.02226191,15.31827259,0,19.69642448,23.52550316,33.22549057,43.33333206,39.88888931,0.333972603,0.98963052,1.988191605,0,-0.999752223,1.266192555
122490,1,1,14.54250944,0.648641363,0,0,0,0,5326.909668,1874.931274,-0.853607595,30.25167656,0,0,0,0,0,0,100,100,100,100,-0.520916581,0.945363998
2109,1,1,13.69691229,0.751651973,2.111111164,4.75555563,5.106481552,0,6790.064453,4564.69873,-0.992003798,10.50928974,0,0.407407403,4.783333302,6.587963104,0,6.666666985,68.09259033,63.94444275,60.42592621,93.33333588,0.126208097,11.4338131
75261,1,1,18.66348243,0.464590676,15.80987263,16.41624069,13.45679379,21.33333397,3950.296875,766.8087158,-0.373563796,5.879742146,2.666666746,20.28197098,24.86313438,25.85474396,0,76,5.548003674,5.022052765,15.26310062,0,-0.927604496,0.211399734
127642,1,1,14.54241836,0.715937853,1.583333492,3.961111069,1.407407403,0,6190.651367,1060.92688,-0.341697007,32.57661057,0,8.612090111,10.17777824,4.967592716,0,0,87.52680206,80.16110992,85.5138855,100,-0.939810216,0.593176305
87205,0,1,19.72213006,0.113870777,0,0.333333343,2.490740776,0,4463.96875,408.1467285,-0.966279328,3.567112446,0,100,99.66666412,97.50926209,100,0,0,0,0,0,0.257496089,0.308427364
117296,0,1,18.37568021,0.552119859,9.648148537,12.36223221,12.40215397,17.77777863,3758.137939,690.8255615,0.350560486,18.58431816,0,23.99074173,20.42622948,19.44927979,13.66666698,63.33333206,3.277777672,3.026576757,7.637088299,5.222222328,-0.936540127,5.916502953
134090,1,1,13.87893069,0.728507057,0,0.077777781,0.342592597,0,8206.117188,3125.973877,-0.966373503,27.8082695,0,0,0,2.060184956,0,0,100,99.92222595,97.59259033,100,-0.257142514,3.44120717
83595,1,1,18.04439378,0.552479863,22.00821114,19.50346375,15.07877541,5.672970295,2866.30957,1290.324341,-0.182771593,51.06489563,0,15.47639561,21.25417328,12.58666515,4.894327164,88.98777008,5.306266308,4.443282604,0.60245955,0.444938838,-0.983155429,0.294977605
77878,1,1,19.27892518,0.262377098,22.77843475,24.08390808,25.7129631,44.22222137,2350.76123,1181.016968,-0.535643518,15.64946079,0,44.26101303,36.43226242,36.42129517,7.888888359,38.88888931,16.81570435,12.60562992,6.587963104,9,-0.844444215,0.910473168
50290,1,1,18.02811337,0.464364231,17.07471657,13.68601513,14.49510098,8.351893425,3059.739502,1528.029419,-0.58685112,31.71899223,0,27.44196701,30.7128582,31.31782532,39.9777298,46.10245132,3.716546059,15.99307156,24.81628799,5.567929268,0.809694886,2.835477352
126632,0,1,17.14533782,0.134502402,25.34257126,16.37454033,23.49389076,30.11111069,3991.003174,30.00754356,0.999918878,1.550616026,0,74.65742493,83.62545776,76.50611115,69.88889313,0,0,0,0,0,-0.01273688,0.465356916
129937,1,1,15.48576283,0.707573757,5,5.088889122,3.527798414,8.222222328,5384.828613,1581.314941,0.773889601,9.088604927,0,14.68014908,9.188017845,6.394172192,0,91.77777863,18.05912972,27.99342537,48.35242462,0,-0.63332051,0.473854542
65084,1,1,14.88822639,0.331293296,32.81580353,19.58889008,18.80092621,36.77777481,1830.460205,2032.111206,-0.073493063,27.41436577,0,24.09558868,21.15555573,18.34259224,49.88888931,13.33333397,8.871143341,19.93333244,23.40740776,0,-0.997295678,0.362700731
130582,1,1,14.81437671,0.785797492,0,2.196533203,8.296639442,0,5335.35498,1026.415894,-0.71454078,26.35998535,0,7.98974514,12.29600334,21.21292305,0.444444448,0,92.01025391,82.73419189,62.83613586,99.55555725,-0.699593723,0.292065173
114736,1,1,16.09040999,0.593496643,9.026708603,6.82918644,4.447257042,14,3628.928223,872.2857666,-0.970261574,22.08889198,0,7.155917168,3.722426176,7.03717041,5,76.44445038,47.74452209,59.86174774,68.7009964,4.555555344,0.242058903,2.629812717
114261,0,0,0,-0.206013185,0,0,0,0,3141.490234,0,-0.017452391,-1.580000043,-3.40282E+38,0,0,0,0,-3.40282E+38,0,0,0,0,0.99984771,0
111841,0,1,15.16463256,0.483256716,0,0,0.023148149,0,5477.506836,2029.228882,0.494722694,42.16481018,0,0,0,0,0,0,100,97.65555573,88.08712769,100,-0.86905092,1.414889693
99437,1,1,18.42631555,0.484188132,13.2774086,14.48692131,15.32648087,20.44444466,4496.127441,2797.630127,0.02076821,48.8505249,0,20.43594742,25.16472054,20.96783638,26.77777672,44.77777863,19.09659386,21.10045433,18.84307671,8,-0.999784291,1.377627611
8312,1,1,14.01510668,0.742247924,8.471996307,5.432467461,5.196248055,0,4492.821777,3397.749756,-0.997093976,86.92848206,0,6.818062782,24.10354233,22.54756165,0,100,10.42180634,15.56840515,25.06898308,0,-0.076181673,2.430618048
345,1,1,19.20266271,0.242331777,19.1974411,6.120905876,18.3086319,19.88888741,5818.214355,3530.703369,0.522122324,14.00812149,0,77.02184296,89.15366364,73.00435638,68.66666412,0,3.780716658,4.725427628,8.687015533,11.44444466,-0.852870584,0.20970799
44832,0,1,13.79591346,0.792944387,2.638889074,1.800000072,1.130434871,0,5798.292969,4232.765625,-0.402104199,30.50127029,0,4.79629612,4.133333206,5.076329708,0.444444448,0,80.62036896,83,83.68348694,99.55555725,0.915593922,1.13310051
58064,1,1,16.32990742,0.463144042,12.11424637,16.21666718,10.56481457,0,5436.667969,4214.003906,-0.999955893,36.73140717,0,47.91962814,52.83260345,30.88954735,35.27534103,0,39.96612549,30.95072937,58.54563522,64.72466278,0.009389375,6.06617403
127316,1,1,12.09375584,0.714955151,0,0,0,0,6514.125488,2012.519897,0.378778487,15.37182808,0,0,0,0,0,0,100,100,100,100,0.92548728,0.744902849
56866,1,1,15.29986632,0.807551354,0,1.544444442,2.080780983,0,5032.417969,934.5796509,-0.322017193,9.43717289,0,4.481481552,10.96998501,15.04958153,0,0,95.21295929,85.90195465,78.35920715,100,-0.946733773,0.501793623
135031,1,1,13.10067832,0.770860165,0,0,0,0,6243.444336,2308.241455,0.996026576,22.23892975,0,0,0,0,0,0,100,100,100,100,0.089056261,2.116987705
79476,0,0,0,-0.030163203,0,0,0,0,5623.913086,0,0.959693909,-0.704211175,-3.40282E+38,0,0,0,0,-3.40282E+38,0,0,100.0000076,0,0.281047404,0.94703269
8317,1,1,15.21594083,0.635896027,4.017809391,8.111110687,8.229030609,2.555555582,4454.07373,3307.098145,0.840821922,86.20716858,0,10.08038044,9.511324883,9.223987579,32.66666412,54.00000381,5.631551743,5.220012188,6.630121708,10.77777767,0.54131192,1.268231869
39829,1,1,16.18470716,0.616141453,0.157407403,2.799999952,5.588055611,0,4220.729492,2568.231934,-0.154915899,36.7551918,0,13.60014057,14.11645126,13.38350296,6.333333015,0,83.80726624,66.78804016,53.38415909,93.66666412,-0.987927675,2.377628326
9519,1,1,14.36489928,0.817017838,0,0,0,0,5459.888672,3925.486816,-0.982172787,37.25761032,0,11.71746922,25.97356796,25.64752769,0,0,88.28253174,74.02643585,74.3524704,100,-0.187980205,3.192556381
109205,1,1,15.98713458,0.667175457,7.516014576,13.00842857,10.08907509,0.265251994,3658.459961,1531.561035,0.735742211,25.33435059,0,25.45824432,26.36618614,29.86284256,44.12024689,15.20778179,13.63492012,17.1960392,29.52398109,40.40671921,0.67726171,5.875682354
6500,1,1,13.0457586,0.709596023,0,0,0.415742755,0,6217.357422,3503.82251,0.429513693,67.6598587,0,17.39415741,8.942751884,3.972506762,14.31718159,0,82.60584259,91.05725098,93.38028717,85.68282318,-0.903060377,4.540807724
14824,1,1,16.05493522,0.823074058,0,0,0,0,4348.195801,2097.310547,0.225206703,12.0594635,0,0,0.050000001,2.147006035,0,0,100,99.94999695,97.85299683,100,-0.974310994,0.45588696
107783,0,0,0,-0.135519816,0,0,0,0,3237.756836,0,-0.017452391,-1.580000043,-3.40282E+38,0,0,0,0,-3.40282E+38,0,0,0,0,0.99984771,0
92448,1,1,15.42035222,0.695790827,10.94468117,19.81111145,13.26856518,0,1745.86145,984.3206177,0.991620779,11.17795658,0,31.21537399,22.52666283,32.61049652,4.777778149,0,57.78432846,57.61778259,54.12094116,95.22222137,-0.129182503,2.427822351
36850,1,1,17.55188465,0.584917322,16.58716774,14.9401722,12.39354134,7.888888359,4078.487793,2922.925781,0.813847125,36.85729599,0,27.91546631,27.13912392,28.78385925,45.22222137,25.88888931,35.99331284,40.6379776,44.40658569,21,0.581079125,3.278218508
77260,1,1,17.77287459,0.48112458,17.83333397,8.189358711,15.25965118,5.111111164,4828.231445,3420.59668,0.788777888,58.97236633,0,5.712963104,9.488889694,17.36122131,30.55555534,55.44444275,11.73148155,31.69454956,46.08794022,8.888889313,-0.614678323,1.826461911
71673,0,1,14.09370971,0.707451388,4.5,10.14954758,9.11613369,0,3722.87085,2448.880371,-0.4770917,57.49908066,0,1.148148298,13.46227837,19.98121071,0,1.444444418,67.76851654,59.24394989,51.190979,98.55554962,-0.8788535,2.457716465
125684,1,1,14.59126556,0.740828022,0,0,0,0,4838.291992,1081.937378,0.571842015,3.212006092,0,0,0,0,0,0,100,100,100,100,-0.82036382,1.659973025
65456,1,1,19.24329996,0.43526388,29.52777863,27.26794434,21.76358795,44.44444656,3463.889648,1353.336914,-0.669858515,19.34378052,0,37.29629517,30.02164459,24.729002,12.11111069,6.111111164,11.90740776,0.428006411,1.951434612,36.22222137,-0.742488682,1.068711996
65965,1,1,13.89394593,0.724689052,0,0,1.557085037,0,1026.415894,1249.193481,-0.608317614,28.02566338,0,8.63800621,19.98126411,20.9223671,16.33333206,0,91.36199188,80.01873779,74.46775055,83.66666412,-0.793693721,1.209051728
73466,1,1,19.25014472,0.369775951,13.38882351,25.11513901,29.68497276,35.88888931,6547.216797,313.2879639,0.3054263,5.470870972,0,53.27620697,38.63630676,27.80369377,13.22222233,50.88888931,11.37052536,8.940537453,10.98538208,0,-0.952215672,0.393385977
21278,0,1,13.72800553,0.763277352,0,0,0,0,4859.091309,2647.64502,-0.999998212,5.250966072,0,0,0.094444439,0.120370366,0,0,100,99.90555573,99.87963104,100,-0.001895355,0.376635045
3301,1,1,18.01237583,0.2293052,41.59013748,34.24095154,22.10340118,29.22222328,5155.711914,2923.233887,-0.3593207,14.29984093,0,41.65121841,40.58354187,37.12982559,43.88888931,0,16.75864601,22.95083427,29.54740715,26.88888931,-0.933214128,0.102018058
53150,1,1,15.0465076,0.83130455,0,0,0,0,1633.96521,1867.713501,0.639684021,46.01733017,0,0,0,1.003627658,0,0,100,100,98.99637604,100,-0.768638015,1.547183871
139946,0,0,0,-0.227661001,0,0,0,0,5436.667969,0,-0.01226402,-1.379999518,-3.40282E+38,0,0,0,0,-3.40282E+38,0,0,0,0,0.999924779,-0.000330877
71876,1,1,18.79999948,0.347284034,23.993927,19.60186005,23.8501606,5.55555582,3004.50293,1049.835205,0.944947481,18.45923805,0,18.17519569,30.71498299,34.91999817,46.77777863,0.777777791,40.10865402,21.51364136,3.752015352,46.88888931,-0.3272219,0.293165326
93780,1,1,18.39171195,0.124282555,19.21172333,12.90032482,14.46919537,34.55555725,1865.542725,180.0452576,0.871071279,2.791366816,0,64.48558044,58.98981094,50.68153,65.33333588,0,16.30269241,28.10986519,34.84927368,0.111111119,-0.491156608,1.140821695
67242,1,1,17.06857729,0.63646923,14.65944672,8.77427578,6.733541965,35.55555725,1124.782593,1328.490601,-0.451958209,26.9386673,0,14.07650948,22.22839546,19.73226738,0,64.44444275,32.63480759,45.98667526,58.63233185,0,0.89203912,0.099875182
20308,1,1,13.08916104,0.76168102,0,0,0,0,3481.004395,2039.850952,-0.396952897,43.52465057,0,0,0,0,0,0,100,100,100,100,0.917838991,5.39411068
68792,1,1,14.53239393,0.364414319,0,2.091150045,3.947708368,0,5851.778809,30.00754356,0.812868893,0.095857918,0,72.7678299,68.59095001,49.10816574,54.80225372,0,27.06254005,28.91841888,45.11764145,45.19773865,0.582446814,11.49256325
129682,0,0,0,0.151346695,0,0,0,0,4582.516602,90.02262878,-0.797148824,0.985497594,-3.40282E+38,0.131578952,14.89027309,20.39445305,0,-3.40282E+38,99.86842346,85.10972595,79.60554504,0,-0.603782892,0.606458902
43694,1,1,16.86770105,0.566131525,12.24350166,10.01409054,10.44391251,7.777778149,3514.983887,2930.924561,-0.994245887,24.00108719,0,21.26870346,11.15562153,12.61581135,44.77777863,14.44444466,31.64284325,46.71042633,44.30275726,33,0.107121199,4.342157841
56585,1,1,16.63155484,0.654198125,11.52604198,14.03237534,14.17205334,25.55555725,1091.053833,1302.825073,0.861320317,38.62123871,0,23.35510254,10.58593082,11.77093124,16.77777863,54.8888855,11.57801151,9.050031662,12.04127216,2.333333254,0.508062184,1.611663103
20170,1,1,14.54248345,0.483081803,0,1.022222281,2.57407403,0,5432.691406,2886.033203,0.809339583,56.87767792,0,0,0,1.546296239,0,0,96.90740967,86.09444427,72.37963104,100,0.587341011,3.652072191
